Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
North Nashville Community Plan,Request to rezone from RS5 and IR to MUL-A and RM20-A for properties at the northwest corner of 26th Avenue North and Clifton Avenue.,Kindall,Approve,Buggs,"[""MUL-A"",""RM20-A""]","[""T4 NE"",""T4 CM""]","[""RS5"",""IR""]","[""2018Z-073PR-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180927sr.pdf_item_6.pdf,zone change,5,Not Provided_2018-09-27,2018-09-27,"Catalyst Design Group, applicant; Nick Dorrol, E3 Construction Services, LLC and Jeffery Hampton, owners.",T4 Urban Neighborhood Evolving (T4 NE) and T4 Urban Mixed Use Corridor (T4 CM),"[""575"",""576"",""578"",""579"",""580"",""581"",""582"",""583""]",941,Catalyst Design Group,21,Staff recommends approval as the requested MUL-A and RM20-A zoning districts are consistent with the goals of the T4 Urban Mixed Use Corridor and T4 Urban Neighborhood Evolving policies in this location.,Not Provided,1.39,29,7,"Properties located at 707, 709, 711, 715, 717 26th Avenue North, 2600, 2604 and 2606 Clifton Avenue, at the northwest corner of 26th Avenue North and Clifton Avenue (1.39 acres).","[""707 26th Ave N"",""709 26th Ave N"",""711 26th Ave N"",""715 26th Ave N"",""717 26th Ave N"",""2600 Clifton Ave"",""2604 Clifton Ave"",""2606 Clifton Ave""]"
,"Request for final plat approval to create three lots on property located at 227 Marcia Avenue, 0.91 acres, zoned R6.",Roberts,Defer,Frogge,"[""R6""]",,"[""R6""]","[""134""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200528sr.pdf_item_5.pdf,final plat,9,Resubdivision of Lots 3 & 4 on the Plat Showing the Division of the John B Cowden Property_2020-05-28,2020-05-28,Clint T. Elliott Surveying,,"[""156""]",1911,"Clint T. Elliott Surveying, applicant; Luke and Hom, Xenia Ryan",20,"Staff recommends deferral to the June 11, 2020, Planning Commission meeting at the request of the applicant.",Resubdivision of Lots 3 & 4 on the Plat Showing the Division of the John B Cowden Property,0.91,3,,"545 feet south of Neighborly Avenue, zoned One and Two-Family Residential (R6), 0.91 acres","[""227 Marcia Avenue""]"
,Zone change to permit up to three multi-family residential units.,Kindall,Defer,Gentry,"[""SP-R""]","[""SP-R""]","[""RS5""]","[""095-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180111sr.pdf_item_20.pdf,specific plan,1,1600 D. B. Todd Jr. SP_2018-01-11,2018-01-11,Sebaisine Eraga,Residential Single-Family to Specific Plan-Resident,"[""001""]",552,Sebaisine Eraga; Hanna Tope,21,"Staff recommends deferral to the January 25, 2018 Planning Commission meeting.",1600 D. B. Todd Jr. SP,0.29,3,0,"northeast corner of Dr. DB Todd Jr. Boulevard and Cockrill Street, 0.29 acres","[""1600 Dr. DB Todd Jr. Boulevard"",""Cockrill Street""]"
,Amends Zoning Code Chapter 17.36 to add Historic Landmark Interiors to protect historically significant interior spaces.,,Approve,,,,,,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190110sr.pdf_item_19.pdf,text amendment,,Historic Landmark Interiors_2019-01-10,2019-01-10,Councilmembers Burkley Allen and Freddie O'Connell,,,1059,Councilmembers Burkley Allen and Freddie O'Connell,,Staff recommends approval.,Historic Landmark Interiors,,,,,
Gallatin Pike Urban Design Overlay,Request to rezone from MUL-A to Specific Plan to permit a mixed-use development including a Kennel.,Parker,Defer,Buggs,"[""SP""]",,"[""MUL-A""]","[""092-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220922sr.pdf_item_2.pdf,preliminary sp,5,2635 Gallatin Ave Dog Daycare_2022-09-22,2022-09-22,"Paws Up Capital, applicant; McQuest Properties, LLC, owner.",Permit all uses of MUL-A plus Kennel and adjust the standards required for a Kennel.,"[""353"",""354"",""355"",""356"",""357"",""359""]",2800,Paws Up Capital,5,Staff recommends indefinite deferral.,2635 Gallatin Ave Dog Daycare,0.13,,,"at the corner of Carolyn Avenue and Gallatin Pike (0.13 acres), and within the Gallatin Pike Urban Design Overlay","[""2635 Gallatin Avenue"",""Carolyn Avenue"",""Gallatin Pike""]"
,"Request to rezone from CS-NS to MUG-A-NS for specific properties on Dickerson Pike, deferred.",Parker,Defer,Gentry,"[""MUG-A-NS""]",,"[""CS-NS""]","[""082-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/101223StaffReport.pdf_item_11.pdf,zone change,1,Zone Change_2023-10-12,2023-10-12,Forstone Capital,,"[""094""]",450,"Forstone Capital, applicant; 1218 Dickerson Pike, LLC, owner",5,"Staff recommends deferral to the October 26, 2023, Planning Commission meeting.",Zone Change,0.48,,,"southwest corner of Ligon Ave and Dickerson Pike, 0.48 acres","[""1236 Dickerson Pike"",""Ligon Avenue""]"
Community Character Manual Policy,13 cluster lot subdivision with single-family dwellings on 7.21 acres at 3233 Lakeshore Drive.,Hagar,Conditional,Shepherd,"[""RS20""]","[""T3 NM""]","[""RS20""]","[""2020S-110-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200625sr.pdf_item_10.pdf,concept plan,4,3233 Lakeshore Drive Subdivision_2020-06-25,2020-06-25,Q. Scott Pulliam,T3 Neighborhood Maintenance (T3 NM),"[""033""]",1946,"Q. Scott Pulliam, applicant; Timothy Huffine, et al, owner",11,Staff recommends approval with conditions.,3233 Lakeshore Drive Subdivision,7.21,13,,310 feet southwest of Azura Landing,"[""3233 Lakeshore Drive""]"
East Nashville Community Plan,"The proposed zone change is consistent with the East Nashville Community Plan, promoting higher density residential use.",Davis,Approve,Buggs,"[""RM15-A""]","[""T4 NE""]","[""SP-R""]","[""071-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190124sr.pdf_item_14.pdf,zone change,5,Zone Change 2018Z-127PR-001_2019-01-24,2019-01-24,"SN Development, LLC., applicant; Jordan and Sloan Allison, owners",Urban Neighborhood Evolving (T4 NE) policy,"[""294""]",3552,"SN Development, LLC.",5,Staff recommends approval as the request is consistent with the Urban Neighborhood Evolving policy of the East Nashville Community Plan.,Zone Change 2018Z-127PR-001,0.2,4,2,southwest corner of Douglas Avenue and Montgomery Avenue (0.20 acres),"[""1218 Montgomery Avenue"",""Douglas Avenue""]"
,"The proposal is to create eight lots on property located at 1152 Rural Hill Road, approximately 630 feet north of Bridgecrest Drive.",Dowell,Conditional,Bush,,"[""T3 RC""]","[""R10""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190509sr.pdf_item_27.pdf,final plat,6,Rural Hill Road Bend Subdivision_2019-05-09,2019-05-09,Doyle Elkins,Conservation and T3 Suburban Residential Corridor (T3 RC),,1322,"Doyle Elkins, applicant; Sammy Said and Haroun Soltan, owners",32,Staff recommends approval with conditions as this request meets the Subdivision Regulations.,Rural Hill Road Bend Subdivision,2.31,8,,"Located at 1152 Rural Hill Road, approximately 630 feet north of Bridgecrest Drive.","[""1152 Rural Hill Road""]"
,"A request to rezone from CS and MUL to MUL-A-NS at the southwest corner of Houston Street and Brown Street, covering 2.17 acres.",Sledge,Defer,Buggs,"[""MUL-A-NS""]",,"[""CS"",""MUL""]","[""086""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/201008sr.pdf_item_5.pdf,zone change,5,Zone Change 2020Z-102PR-001_2020-10-08,2020-10-08,"Waller Lansden Dortch and Davis, Nashville Phase I Property Holder, LLC and Arthur Daws, III",,"[""149"",""150""]",2125,Waller Lansden Dortch and Davis,17,"Staff recommends deferral to the October 22, 2020, Planning Commission meeting at the request of the applicant.",Zone Change 2020Z-102PR-001,2.17,,,southwest corner of Houston Street and Brown Street (2.17 acres),"[""1209 Martin Street"",""1211 Martin Street"",""448 Humphreys Street""]"
East Nashville Community Plan,Proposal to rezone from Single-Family Residential (RS5) to One and Two-Family Residential - Alternative (R6-A) for the property located at 217 Eastmoreland Street.,Parker,Conditional,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200312sr.pdf_item_26.pdf,Zone Change,5,Zone Change 2020Z-045PR-001_2020-03-12,2020-03-12,"Sean Parker, applicant; Vernon Woodard, owner.",T4 Urban Neighborhood Evolving (T4 NE),,1754,"Sean Parker, applicant; Vernon Woodard, owner.",5,Staff recommends approval with conditions.,Zone Change 2020Z-045PR-001,0.17,2,1,approximately 250 feet west of Meridian Street (0.17 acres).,"[""217 Eastmoreland Street""]"
South Nashville Community Plan,The request is for a zone change from Industrial Restrictive (IR) to Industrial General (IG) on a site that is heavily industrial and strategically located.,O’Connell,Approve,Buggs,"[""IG""]","[""D IN"",""CO""]","[""IR""]","[""084-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181108sr.pdf_item_16.pdf,zone change,5,Zone Change 2018Z-101PR-001_2018-11-08,2018-11-08,"Dale & Associates, Inc; Robert Poole, owner.","District Industrial (D IN), Conservation (CO)","[""211""]",2233,"Dale & Associates, Inc",19,Staff recommends approval.,Zone Change 2018Z-101PR-001,4.63,,,"property located on Lebanon Pike (unnumbered), approximately 460 feet east of the terminus of Freightliner Drive (4.63 acres).","[""Lebanon Pike""]"
Bordeaux - Whites Creek - Haynes Trinity,Request to rezone from Single-Family Residential (RS15) to One and Two-Family Residential (R15) zoning for property at 4023 Meadow Rd.,Hall,Disapprove,Gentry,"[""R15""]","[""T3 NE""]","[""RS15""]","[""069-03""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220609sr.pdf_item_14.pdf,zone change,1,2022Z-032PR-001_2022-06-09,2022-06-09,"Elite Nashville Development, LLC; Hayat & Filiz Bozkurt, owners.",T3 Suburban Neighborhood Evolving (T3 NE) intended to create suburban residential neighborhoods,"[""012""]",2680,"Elite Nashville Development, LLC",1,Staff recommends disapproval.,2022Z-032PR-001,0.39,1,1,"west side of Meadow Road in the Bordeaux area, approximately 0.39 acres","[""4023 Meadow Rd""]"
,The request is to rezone properties from R20 to Specific Plan (SP) zoning for a multi-family residential development.,Hagar,Defer,Little,"[""SP""]",,"[""R20""]","[""175""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211209sr.pdf_item_9.pdf,preliminary sp,4,4319 Saundersville Road_2021-12-09,2021-12-09,"Dale and Associates, applicant; Guernier Development, owner",,"[""235""]",2440,Dale and Associates,11,"Defer to the January 13, 2022, Planning Commission Meeting.",4319 Saundersville Road,7.5,49,,240 feet east of Woodside Drive (7.5 acres),"[""4319 Saundersville Road"",""Woodside Drive""]"
Metro General Plan,Proposal for lease agreement for a new athletic facility that will be shared by MNPS and Belmont University.,Adkins,Approve,,,"[""CI""]",,,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191024sr.pdf_item_16.pdf,major plan amendment,,Lease agreement for an athletic facility at Rose Park Middle School_2019-10-15,2019-10-15,Metro Planning Department,Civic (CI),,1593,Metro Planning Commission,,"Given the land use policy of the school property, the location of the proposed building, and the shared nature of the facility, staff recommends approval of the mandatory referral for the lease agreement.",Lease agreement for an athletic facility at Rose Park Middle School,,,,Adjacent to the basketball courts and a parking lot directly behind Rose Park Middle School.,"[""2601 Bransford Avenue""]"
Donelson-Hermitage-Old Hickory Community Plan,The applicant requests an SP amendment to permit 300 multi-family residential units instead of the current mixed-use zoning.,Hagar,Conditional,Shepherd,"[""SP-R""]","[""T3 CC""]","[""SP-MU""]","[""061""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180628sr.pdf_item_12.pdf,SP Amendment,4,Rayon City Townhomes SP_2018-06-28,2018-06-28,"Gresham Smith and Partners, applicant; Rayon City Investors, owner.",T3 Suburban Community Center (T3 CC),"[""013"",""014"",""015"",""018"",""073"",""085""]",774,Gresham Smith and Partners,14,Approve with conditions and disapprove without all conditions.,Rayon City Townhomes SP,27.81,300,,"northeast corner of Industrial Drive and Robinson Road, 27.81 acres","[""915 Robinson Road"",""921 Robinson Road""]"
,Declares a 120-day moratorium on issuing building or grading permits for multifamily developments in the Antioch area.,Vercher,Defer,Bush,,,,"[""093-02""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200827sr.pdf_item_14.pdf,major plan amendment,6,120-Day Multifamily Permit Moratorium in the Antioch Area_2020-08-27,2020-08-27,Councilmember Tanaka Vercher,,"[""157""]",2019,Councilmember Tanaka Vercher,28,"Defer to the September 10, 2020 Planning Commission meeting.",120-Day Multifamily Permit Moratorium in the Antioch Area,,,,Antioch area,
Phillips-Jackson Street Redevelopment District,Preliminary SP to permit a mixed-use development on 1.14 acres located at the northwest corner of the intersection of 3rd Ave N and Jefferson Street.,O'Connell,Defer,Gentry,"[""SP-MU""]",,"[""CS"",""IWD""]","[""098"",""110-049""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190214sr.pdf_item_17.pdf,preliminary SP,1,3rd and Jefferson SP_2019-02-14,2019-02-14,"Southeast Venture, applicant; Frank B. Allen and Jefferson Street Lofts, L.P., owners.",,"[""098"",""065"",""088""]",1131,Southeast Venture,9,"Staff recommends deferral to the February 28, 2019, Planning Commission meeting at the request of the applicant.",3rd and Jefferson SP,1.14,,,northwest corner of the intersection of 3rd Ave N and Jefferson Street within the Phillips-Jackson Street Redevelopment District (1.14 acres),"[""1121 3rd Ave N"",""300 Jefferson Street"",""304 Jefferson Street""]"
North Nashville Community Plan,"The request is to rezone from IR to MUL-A to allow moderate intensity residential, retail, restaurant, and office uses, consistent with T4 MU policy.",O’Connell,Approve,Buggs,"[""MUL-A""]","[""T4 MU""]","[""IR""]","[""105-03""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190509sr.pdf_item_51.pdf,zone change,5,Zone Change 2019Z-073PR-001_2019-05-09,2019-05-09,Catalyst Design Group,Urban Mixed Use Neighborhood (T4 MU),"[""178"",""179""]",1349,"Catalyst Design Group, applicant; 14th Avenue North, LLC, owner",19,Staff recommends approval.,Zone Change 2019Z-073PR-001,1.1,22,0,804 14th Avenue North at the southeast corner of 14th Avenue North and Herman Street,"[""804 14th Avenue North""]"
Antioch-Priest Lake Community Plan,"Rezoning requested from R20 to IWD for property located at 2775 Couchville Pike, aligning with local policies.",Johnson,Approve,Pinkston,"[""IWD""]","[""D EC""]","[""R20""]","[""071-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180809sr.pdf_item_21.pdf,zone change,7,2018Z-077PR-001_2018-08-09,2018-08-09,"Hamilton Creek Development Company, LLC; Kenneth Burd Jr.",D Employment Center (D EC),"[""421"",""422""]",843,"Hamilton Creek Development Company, LLC, applicant; Kenneth Burd Jr., owner",29,Staff recommends approval.,2018Z-077PR-001,1,34.847,4,625 feet west of the intersection of Bell Road and Couchville Pike,"[""2775 Couchville Pike""]"
,"Amend Title 17 of the Metropolitan Code of Laws, to amend Chapter 17.37 pertaining to the Downtown Code Bonus Height Program.",O’Connell,Defer,Buggs,,,,,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/060823StaffReport.pdf_item_26.pdf,SP Amendment,5,Downtown Code Bonus Height Program Amendment_2023-06-08,2023-06-08,Metropolitan Nashville Planning Department,,,220,Metropolitan Nashville Planning Department,19,"Staff recommends deferral to the June 22, 2023, Planning Commission meeting.",Downtown Code Bonus Height Program Amendment,,,,,
